Law Firm,City,Website,DA Score
Hunton Andrews Kurth,Los Angeles,www.huntonak.com,60
Weitz & Luxenberg,Los Angeles,www.weitzlux.com,50
Thompson Coburn,Los Angeles,www.thompsoncoburn.com,52
Winston & Strawn,Los Angeles,www.winston.com,58
Reed Smith,Los Angeles,www.reedsmith.com,62
Clark Hill,Los Angeles,www.clarkhill.com,52
Seyfarth Shaw,Los Angeles,www.seyfarth.com,57
White & Case,Los Angeles,www.whitecase.com,64
Blank Rome,Los Angeles,www.blankrome.com,57
Milbank,Los Angeles,www.milbank.com,51
Duane Morris,Los Angeles,www.duanemorris.com,57
Arnold & Porter Kaye Scholer,Los Angeles,www.arnoldporter.com,58
Morrison Foerster,Los Angeles,www.mofo.com,62
Baker McKenzie,Los Angeles,www.bakermckenzie.com,66
"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo",Los Angeles,www.mintz.com,56
McDermott Will & Emery,Los Angeles,www.mwe.com,60
Mayer Brown,Los Angeles,www.mayerbrown.com,62
Wilson Elser Moskowitz Edelman & Dicker,Los Angeles,www.wilsonelser.com,51
Akerman,Los Angeles,www.akerman.com,53
Dentons,Los Angeles,www.dentons.com,64
Faegre Drinker Biddle & Reath,Los Angeles,www.faegredrinker.com,57
Covington & Burling,Los Angeles,www.cov.com,60
Wilson Sonsini Goodrich & Rosati,Los Angeles,www.wsgr.com,57
Boies Schiller Flexner,Los Angeles,www.bsfllp.com,55
Jones Day,Los Angeles,www.jonesday.com,63
Ballard Spahr,Los Angeles,www.ballardspahr.com,57
Baum Hedlund Aristei & Goldman,Los Angeles,www.baumhedlundlaw.com,58
Squire Patton Boggs,Los Angeles,www.squirepattonboggs.com,60
Kilpatrick Townsend & Stockton,Los Angeles,kilpatricktownsend.com,52
Fenwick & West,Mountain View,www.fenwick.com,59
Public Justice,Oakland,www.publicjustice.net,54
Foley & Lardner,Palo Alto,www.foley.com,61
WilmerHale,Palo Alto,www.wilmerhale.com,64
Finnegan,Palo Alto,www.finnegan.com,54
Lowenstein Sandler,Palo Alto,www.lowenstein.com,54
Baker Botts,Palo Alto,www.bakerbotts.com,53
Cooley,Palo Alto,www.cooley.com,57
Allen & Overy,Palo Alto,www.allenovery.com,61
Hagens Berman,Pasadena,www.hbsslaw.com,63
"Weil, Gotshal & Manges",Redwood City,www.weil.com,57
Kramer Levin Naftalis & Frankel,Redwood City,www.kramerlevin.com,55
Freshfields Bruckhaus Deringer,Redwood City,www.freshfields.us,53
Rizio Lipinsky,Riverside,www.riziolawfirm.com,62
JAMS,Riverside,www.jamsadr.com,71
Stoel Rives,Sacramento,www.stoel.com,51
Sanford Heisler Sharp,San Diego,www.sanfordheisler.com,50
Nelson Mullins,San Diego,www.nelsonmullins.com,50
Robbins Geller Rudman & Dowd,San Diego,www.rgrdlaw.com,57
Perkins Coie,San Diego,perkinscoie.com,59
Buchanan Ingersoll & Rooney,San Diego,www.bipc.com,50
Benner Law Firm,San Diego,bennerlawfirm.com,57
Fieldfisher,San Francisco,www.fieldfisher.com,57
BakerHostetler,San Francisco,www.bakerlaw.com,59
"Paul, Weiss, Rifkind, Wharton & Garrison",San Francisco,www.paulweiss.com,56
CBIZ,San Francisco,www.cbiz.com,56
Asian Law Caucus,San Francisco,www.advancingjustice-alc.org,52
Munich Re,San Francisco,www.munichre.com,69
Steptoe,San Francisco,www.steptoe.com,59
Constantine Cannon,San Francisco,constantinecannon.com,50
Debevoise & Plimpton,San Francisco,www.debevoise.com,57
Akin Gump Strauss Hauer & Feld,San Francisco,www.akingump.com,58
Vinson & Elkins,San Jose,www.velaw.com,53
Faegre Drinker Biddle & Reath,San Rafael,www.drinkerbiddle.com,51
Buckley,Santa Monica,buckleyfirm.com,52
Bryan Cave Leighton Paisner,Santa Monica,www.bclplaw.com,59
Dickinson Wright,Sunnyvale,www.dickinson-wright.com,50
Wallin & Klarich,Tustin,www.wklaw.com,52
Stewart Title Guaranty Company,Walnut Creek,www.stewart.com,55
